time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,mayoral_combined_authority_code,mayoral_combined_authority_name,Provision,LevelOfLearning,SSATier1,SSATier2,NumberOfLearners,NumberOfMatchedLearners,SPDPercent,EmpPercent,SelfEmpPercent,EmpOnlyPercent,EmpAndLearnPercent,LearnPercent,LearnOnlyPercent,FEPercent,BelowL2Percent,EngMathPercent,Level2Percent,FullLevel2Percent,Level3Percent,FullLevel3Percent,Level4PlusPercent,NotAssignedPercent,HEPercent,AppPercent,AppIntermediatePercent,AppAdvancedPlusPercent,AnyLearnPercent,NotSustainedPercent,NotSustainedNBPercent,NotSustainedBenefitPercent,BenefitPercent,NoDestPercent,LearnersWithEarnings,25thPercentile,Median,75thPercentile
201617,Academic year,National,E92000001,England,,,,,Total,Total,Total,Total,1017810,1007090,76,66,5,52,14,24,10,18,1,6,2,1,0,2,1,5,4,6,1,5,42,18,5,7,5,6,167130,12430,16910,22130
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care",Total,15500,15370,78,70,11,56,14,22,8,18,1,1,3,1,2,4,1,5,2,6,1,5,35,13,6,4,3,9,2830,12640,17010,21000
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care",Agriculture,2590,2550,82,75,11,60,15,22,7,16,1,1,1,2,c,2,1,8,2,10,1,9,33,10,6,2,2,8,570,14210,18640,23590
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care","Agriculture, Horticulture and Animal Care",60,60,94,58,8,16,42,78,36,36,0,c,0,0,c,c,22,9,42,c,c,0,81,c,c,0,0,c,,:,:,:
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care",Animal care and veterinary science,5200,5180,82,72,8,57,16,25,9,20,0,0,1,1,4,6,2,6,3,7,1,6,35,11,6,3,3,7,1280,11200,15880,20330
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care",Environmental conservation,650,630,50,44,3,39,5,11,6,8,0,0,1,1,c,3,0,2,1,2,1,1,34,37,9,15,12,13,110,13080,18980,24500
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Agriculture, Horticulture and Animal Care",Horticulture and forestry,7000,6950,76,68,13,56,12,20,8,19,3,1,5,2,2,3,1,3,1,3,1,3,36,14,7,4,3,10,870,14350,17050,20410
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Arts, Media and Publishing",Total,21160,20880,77,54,6,36,17,40,23,23,7,1,3,1,1,6,3,1,15,1,0,1,58,14,8,3,3,9,470,11270,15990,20460
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Arts, Media and Publishing","Crafts, creative arts and design",13800,13600,76,54,7,37,17,39,21,21,7,1,3,1,2,4,2,1,13,1,0,1,57,14,8,3,3,10,230,10480,14990,19230
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Arts, Media and Publishing",Media and communication,3250,3220,80,49,3,31,18,49,31,26,2,1,4,0,1,11,4,2,23,2,0,1,58,12,6,4,2,8,220,12780,17590,21990
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Arts, Media and Publishing",Performing arts,4030,3970,77,54,5,37,18,41,23,25,8,1,1,1,0,8,4,1,13,1,0,1,60,14,9,3,2,9,10,6900,11600,12810
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Arts, Media and Publishing",Publishing and information services,80,80,69,65,c,55,10,13,4,c,0,0,c,0,0,0,0,c,11,c,c,0,31,28,10,12,6,c,10,6720,13680,16880
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Total,145350,144830,84,80,3,66,14,18,4,13,0,0,1,0,0,2,3,5,3,8,1,7,33,12,4,5,3,4,45750,13870,17400,22190
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Accounting and finance,19000,18940,89,82,4,52,30,36,6,32,0,0,1,2,0,13,11,5,2,14,0,14,50,8,3,3,2,3,6560,14670,17910,21740
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Administration,70350,70190,79,76,2,64,12,15,3,11,0,1,1,0,0,1,1,6,2,9,2,8,31,17,4,8,5,4,25520,13170,16320,19840
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Business management,52060,51770,88,84,5,74,10,14,3,8,0,0,1,0,0,1,2,3,4,5,1,4,30,8,3,3,2,4,12250,15800,20980,28290
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Law and legal services,740,740,89,69,3,42,26,47,20,7,0,0,1,c,c,3,1,2,40,6,c,6,60,7,4,2,1,4,50,17220,19440,22230
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Business, Administration, Finance and Law",Marketing and sales,3200,3190,86,82,3,69,13,17,4,10,0,0,0,0,0,1,4,4,4,9,1,8,28,11,5,5,2,3,1380,13820,17460,22010
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Construction, Planning and the Built Environment",Total,37950,37770,77,72,25,57,16,20,5,18,0,0,1,4,0,5,1,6,1,8,1,7,34,17,5,8,5,5,5260,15070,20000,26170
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Construction, Planning and the Built Environment",Building and construction,37940,37760,77,72,25,57,16,20,5,18,0,0,1,4,0,5,1,6,1,8,1,7,33,17,5,8,5,5,5260,15070,20000,26170
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Construction, Planning and the Built Environment","Construction, Planning and the Built Environment",10,10,100,56,c,0,56,100,44,c,0,0,c,0,0,0,c,0,78,0,0,0,100,0,0,0,0,0,,:,:,:
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Construction, Planning and the Built Environment","Urban, rural and regional planning",10,10,100,0,0,0,0,100,100,100,83,c,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,:,:,:
201617,Academic year,National,E92000001,England,,,,,Total,Total,Education and Training,Total,20980,20900,84,76,4,59,17,25,8,19,0,2,3,0,3,5,2,4,5,4,0,3,38,11,4,3,3,5,5530,8080,10880,13920
201617,Academic year,National,E92000001,England,,,,,Total,Total,Education and Training,Direct learning support,19070,19000,84,76,3,60,16,23,7,20,0,2,3,0,4,5,2,4,3,4,0,3,36,11,4,4,3,5,5260,8010,10740,13520
201617,Academic year,National,E92000001,England,,,,,Total,Total,Education and Training,Teaching and lecturing,1910,1900,88,71,9,48,23,41,17,11,0,1,3,c,1,1,3,2,29,3,0,2,52,7,3,2,2,4,270,13280,20020,24150
201617,Academic year,National,E92000001,England,,,,,Total,Total,Engineering and Manufacturing Technologies,Total,70550,70340,85,82,6,64,18,21,3,17,0,0,1,0,0,2,2,11,2,13,2,12,31,10,4,4,2,4,24750,17130,22200,29680
201617,Academic year,National,E92000001,England,,,,,Total,Total,Engineering and Manufacturing Technologies,Engineering,19860,19790,81,75,8,58,17,23,5,18,0,0,1,0,1,3,2,11,3,12,2,10,37,14,5,7,2,5,3810,18120,25480,32020
201617,Academic year,National,E92000001,England,,,,,Total,Total,Engineering and Manufacturing Technologies,Manufacturing technologies,32270,32200,89,87,3,71,17,18,2,15,0,0,0,0,0,1,3,10,2,11,2,10,25,7,3,3,1,4,15030,18440,23450,30990
201617,Academic year,National,E92000001,England,,,,,Total,Total,Engineering and Manufacturing Technologies,Transportation operations and maintenance,18410,18350,82,78,9,58,20,24,4,20,0,0,1,1,0,3,1,15,1,17,1,16,34,12,5,5,3,5,5910,14520,18600,23270
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care",Total,196420,195710,86,81,3,65,17,22,5,14,0,1,2,0,1,2,2,6,5,8,1,7,41,10,4,4,2,3,44500,11130,15460,20120
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care",Child development and well being,21820,21760,84,77,3,54,23,29,7,24,0,2,2,1,0,4,1,13,2,16,1,15,44,11,5,4,3,5,8130,8730,11950,15130
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care",Health and social care,161730,161120,87,83,3,67,16,20,5,14,0,1,2,0,1,2,2,5,5,7,2,6,42,9,4,3,2,3,33930,11690,16010,20410
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care",Medicine and dentistry,640,640,88,69,6,46,24,42,19,7,c,0,1,0,0,2,2,2,35,0,0,0,47,9,5,2,1,3,50,11700,15970,17450
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care","Nursing, and subjects and vocations allied to medicine",3110,3100,92,63,2,25,38,65,28,9,0,2,2,c,c,0,2,2,56,1,0,0,77,7,3,2,2,2,20,11010,18130,19850
201617,Academic year,National,E92000001,England,,,,,Total,Total,"Health, Public Services and Care",Public services,9120,9090,77,74,2,67,7,10,3,6,0,1,1,0,0,1,1,3,2,4,2,2,23,20,3,10,6,3,2360,19990,21020,23720
201617,Academic year,National,E92000001,England,,,,,Total,Total,"History, Philosophy and Theology",Total,860,840,87,50,4,17,33,70,37,8,2,0,2,0,c,1,1,1,59,0,c,c,81,9,6,2,2,4,,:,:,:
